year;month;casos;municipality_code_ibge
2017;9;19;3154606
2017;10;16;3154606
2017;11;13;3154606
2017;12;13;3154606
2017;12;5;3154606
2018;1;23;3154606
2018;2;42;3154606
2018;3;37;3154606
2018;4;55;3154606
2018;5;34;3154606
2018;6;15;3154606
2018;7;8;3154606
2018;8;13;3154606
2018;9;17;3154606
2018;10;13;3154606
2018;11;15;3154606
2018;12;20;3154606
2018;12;6;3154606
2019;1;138;3154606
2019;2;410;3154606
2019;3;2162;3154606
2019;4;3987;3154606
2019;5;3049;3154606
2019;6;723;3154606
2019;7;31;3154606
2019;8;78;3154606
2019;9;51;3154606
2019;10;58;3154606
2019;11;52;3154606
2019;12;321;3154606
2019;12;8;3154606
2020;1;38;3154606
2020;2;71;3154606
2020;3;124;3154606
2020;4;87;3154606
2020;5;88;3154606
2020;6;54;3154606
2020;7;26;3154606
2020;8;22;3154606
2020;9;16;3154606
2020;10;16;3154606
2020;11;39;3154606
2020;12;32;3154606
2021;1;36;3154606
2021;2;50;3154606
2021;3;45;3154606
2021;4;26;3154606
2021;5;18;3154606
2021;6;8;3154606
2021;7;21;3154606
2021;8;7;3154606
2021;9;18;3154606
2021;10;21;3154606
2021;11;0;3154606
2021;12;1;3154606
2022;1;67;3154606
2022;2;45;3154606
2022;3;114;3154606
2022;4;189;3154606
2022;5;299;3154606
2022;6;128;3154606
2022;7;53;3154606
2022;8;41;3154606
2022;9;29;3154606
2022;10;47;3154606
2022;11;48;3154606
2022;12;55;3154606
2023;1;166;3154606
2023;2;389;3154606
2023;3;2097;3154606
2023;4;3822;3154606
2023;5;1965;3154606
2023;6;544;3154606
2023;7;164;3154606
2023;8;113;3154606
2023;9;81;3154606
2023;10;143;3154606
2023;11;194;3154606
2023;12;186;3154606
2023;12;336;3154606
2024;1;5456;3154606
2024;2;14338;3154606
2024;3;12737;3154606
2024;4;4085;3154606
2024;5;1538;3154606
2024;6;499;3154606
2024;7;118;3154606
2024;8;109;3154606
2024;9;170;3154606
2024;10;145;3154606
2024;11;242;3154606
2024;12;201;3154606
2024;12;48;3154606
2025;1;438;3154606
2025;2;673;3154606
2025;3;665;3154606
2025;4;476;3154606
2025;5;316;3154606
2025;6;212;3154606
2025;7;126;3154606
2025;8;153;3154606
2025;9;196;3154606
2025;10;150;3154606
2025;11;13;3154606
2015;1;67;3170107
2015;2;183;3170107
2015;3;549;3170107
